.next/types/app/(dashboard)/admin/contact-centre/purge/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/admin/contact-centre/purge/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/admin/contact-centre-extensions/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/master-data/admin/contact-centre-extensions/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/admin/contact-centre-extensions/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/master-data/admin/contact-centre-extensions/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/admin/order-quotation/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/master-data/admin/order-quotation/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/admin/order-quotation/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/master-data/admin/order-quotation/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/admin/work-schedule/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/master-data/admin/work-schedule/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/admin/work-schedule/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/master-data/admin/work-schedule/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/credit-group-approvals/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/credit-group-approvals/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/credit-group-approvals/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/credit-group-approvals/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/credit-groups/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/credit-groups/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/credit-groups/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/credit-groups/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/service-customers/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/service-customers/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/service-customers/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/service-customers/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/services/approvals/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/master-data/services/approvals/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/services/approvals/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/master-data/services/approvals/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/services/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/services/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/services/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/services/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/subscriptions/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/subscriptions/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/subscriptions/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/subscriptions/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/teams/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/teams/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/master-data/teams/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/master-data/teams/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/[id]/edit/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/orders/[id]/edit/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/[id]/edit/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/orders/[id]/edit/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/[id]/request-follow-up/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/orders/[id]/request-follow-up/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/[id]/request-follow-up/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/orders/[id]/request-follow-up/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/create-follow-up/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/orders/create-follow-up/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/create-follow-up/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/orders/create-follow-up/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/create/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/orders/create/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/create/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/orders/create/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/page.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/orders/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/orders/page.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/orders/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/quotations/[id]/edit/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/quotations/[id]/edit/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/quotations/[id]/edit/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/quotations/[id]/edit/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/quotations/[id]/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/quotations/[id]/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/quotations/[id]/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/quotations/[id]/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/quotations/create/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/quotations/create/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/quotations/create/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/quotations/create/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/quotations/page.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/quotations/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/quotations/page.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/quotations/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/team-leader/page.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/team-leader/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/team-leader/page.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/team-leader/page.js' or its corresponding type declarations.
.next/types/app/api/3cx/active-calls/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/3cx/active-calls/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/active-calls/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/3cx/active-calls/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/call/decline/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/3cx/call/decline/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/call/decline/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/3cx/call/decline/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/call/hangup/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/3cx/call/hangup/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/call/hangup/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/3cx/call/hangup/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/call/make/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/3cx/call/make/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/call/make/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/3cx/call/make/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/recording/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/3cx/recording/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/recording/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/3cx/recording/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/webhook/event/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/3cx/webhook/event/route.js' or its corresponding type declarations.
.next/types/app/api/3cx/webhook/event/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/3cx/webhook/event/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/history/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../../src/app/api/admin/contact-centre/purge/history/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/history/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../../src/app/api/admin/contact-centre/purge/history/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/preview/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../../src/app/api/admin/contact-centre/purge/preview/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/preview/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../../src/app/api/admin/contact-centre/purge/preview/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/restore/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../../src/app/api/admin/contact-centre/purge/restore/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/restore/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../../src/app/api/admin/contact-centre/purge/restore/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/admin/contact-centre/purge/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/admin/contact-centre/purge/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/sweep/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../../src/app/api/admin/contact-centre/purge/sweep/route.js' or its corresponding type declarations.
.next/types/app/api/admin/contact-centre/purge/sweep/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../../src/app/api/admin/contact-centre/purge/sweep/route.js' or its corresponding type declarations.
.next/types/app/api/contact-center/escalate/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/contact-center/escalate/route.js' or its corresponding type declarations.
.next/types/app/api/contact-center/escalate/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/contact-center/escalate/route.js' or its corresponding type declarations.
.next/types/app/api/follow-up-requests/[id]/confirm/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/follow-up-requests/[id]/confirm/route.js' or its corresponding type declarations.
.next/types/app/api/follow-up-requests/[id]/confirm/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/follow-up-requests/[id]/confirm/route.js' or its corresponding type declarations.
.next/types/app/api/follow-up-requests/[id]/reject/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/follow-up-requests/[id]/reject/route.js' or its corresponding type declarations.
.next/types/app/api/follow-up-requests/[id]/reject/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/follow-up-requests/[id]/reject/route.js' or its corresponding type declarations.
.next/types/app/api/follow-up-requests/route.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/api/follow-up-requests/route.js' or its corresponding type declarations.
.next/types/app/api/follow-up-requests/route.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/api/follow-up-requests/route.js' or its corresponding type declarations.
.next/types/app/api/notifications/send-booking-confirmations/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/notifications/send-booking-confirmations/route.js' or its corresponding type declarations.
.next/types/app/api/notifications/send-booking-confirmations/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/notifications/send-booking-confirmations/route.js' or its corresponding type declarations.
.next/types/app/api/orders/[id]/generate-confirmation-pdf/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/orders/[id]/generate-confirmation-pdf/route.js' or its corresponding type declarations.
.next/types/app/api/orders/[id]/generate-confirmation-pdf/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/orders/[id]/generate-confirmation-pdf/route.js' or its corresponding type declarations.
.next/types/app/api/orders/[id]/link-follow-up/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/orders/[id]/link-follow-up/route.js' or its corresponding type declarations.
.next/types/app/api/orders/[id]/link-follow-up/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/orders/[id]/link-follow-up/route.js' or its corresponding type declarations.
.next/types/app/api/orders/follow-up/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/orders/follow-up/route.js' or its corresponding type declarations.
.next/types/app/api/orders/follow-up/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/orders/follow-up/route.js' or its corresponding type declarations.
.next/types/app/api/payments/dibsy/create-batch-payment/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/payments/dibsy/create-batch-payment/route.js' or its corresponding type declarations.
.next/types/app/api/payments/dibsy/create-batch-payment/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/payments/dibsy/create-batch-payment/route.js' or its corresponding type declarations.
.next/types/app/api/payments/dibsy/create-tl-invoice/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/payments/dibsy/create-tl-invoice/route.js' or its corresponding type declarations.
.next/types/app/api/payments/dibsy/create-tl-invoice/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/payments/dibsy/create-tl-invoice/route.js' or its corresponding type declarations.
.next/types/app/api/payments/dibsy/create/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/payments/dibsy/create/route.js' or its corresponding type declarations.
.next/types/app/api/payments/dibsy/create/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/payments/dibsy/create/route.js' or its corresponding type declarations.
.next/types/app/api/payments/dibsy/webhook/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/payments/dibsy/webhook/route.js' or its corresponding type declarations.
.next/types/app/api/payments/dibsy/webhook/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/payments/dibsy/webhook/route.js' or its corresponding type declarations.
.next/types/app/api/quotations/[id]/generate-pdf/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/quotations/[id]/generate-pdf/route.js' or its corresponding type declarations.
.next/types/app/api/quotations/[id]/generate-pdf/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/quotations/[id]/generate-pdf/route.js' or its corresponding type declarations.
.next/types/app/api/quotations/preview-html/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/quotations/preview-html/route.js' or its corresponding type declarations.
.next/types/app/api/quotations/preview-html/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/quotations/preview-html/route.js' or its corresponding type declarations.
.next/types/app/api/team-leader/update-location/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/team-leader/update-location/route.js' or its corresponding type declarations.
.next/types/app/api/team-leader/update-location/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/team-leader/update-location/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/devices/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/traccar/devices/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/devices/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/traccar/devices/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/geofences/[id]/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/traccar/geofences/[id]/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/geofences/[id]/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/traccar/geofences/[id]/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/geofences/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/traccar/geofences/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/geofences/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/traccar/geofences/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/positions/history/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/traccar/positions/history/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/positions/history/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/traccar/positions/history/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/positions/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/traccar/positions/route.js' or its corresponding type declarations.
.next/types/app/api/traccar/positions/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/traccar/positions/route.js' or its corresponding type declarations.
.next/types/app/api/wati/fetch-messages/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/wati/fetch-messages/route.js' or its corresponding type declarations.
.next/types/app/api/wati/fetch-messages/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/wati/fetch-messages/route.js' or its corresponding type declarations.
.next/types/app/api/wati/lookup-contact/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/wati/lookup-contact/route.js' or its corresponding type declarations.
.next/types/app/api/wati/lookup-contact/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/wati/lookup-contact/route.js' or its corresponding type declarations.
.next/types/app/api/wati/media/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/wati/media/route.js' or its corresponding type declarations.
.next/types/app/api/wati/media/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/wati/media/route.js' or its corresponding type declarations.
.next/types/app/api/wati/send-file/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/wati/send-file/route.js' or its corresponding type declarations.
.next/types/app/api/wati/send-file/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/wati/send-file/route.js' or its corresponding type declarations.
.next/types/app/api/wati/send-message/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/wati/send-message/route.js' or its corresponding type declarations.
.next/types/app/api/wati/send-message/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/wati/send-message/route.js' or its corresponding type declarations.
.next/types/app/api/wati/send-quotation/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/wati/send-quotation/route.js' or its corresponding type declarations.
.next/types/app/api/wati/send-quotation/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/wati/send-quotation/route.js' or its corresponding type declarations.
.next/types/app/api/wati/sync-contacts/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/wati/sync-contacts/route.js' or its corresponding type declarations.
.next/types/app/api/wati/sync-contacts/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/wati/sync-contacts/route.js' or its corresponding type declarations.
.next/types/app/api/wati/webhook/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/wati/webhook/route.js' or its corresponding type declarations.
.next/types/app/api/wati/webhook/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/wati/webhook/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/fetch-messages/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/fetch-messages/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/fetch-messages/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/fetch-messages/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/media/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/media/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/media/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/media/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/send-message/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/send-message/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/send-message/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/send-message/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/send-reaction/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/send-reaction/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/send-reaction/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/send-reaction/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/sync-chats/route.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/sync-chats/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/sync-chats/route.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/api/whapi/sync-chats/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/webhook/channel/route.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/api/whapi/webhook/channel/route.js' or its corresponding type declarations.
.next/types/app/api/whapi/webhook/channel/route.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/api/whapi/webhook/channel/route.js' or its corresponding type declarations.
.next/types/app/pay/[invoiceId]/page.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/pay/[invoiceId]/page.js' or its corresponding type declarations.
.next/types/app/pay/[invoiceId]/page.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/pay/[invoiceId]/page.js' or its corresponding type declarations.
.next/types/validator.ts(71,39): error TS2307: Cannot find module '../../src/app/(dashboard)/admin/contact-centre/purge/page.js' or its corresponding type declarations.
.next/types/validator.ts(80,39): error TS2307: Cannot find module '../../src/app/(dashboard)/calendar/page.js' or its corresponding type declarations.
.next/types/validator.ts(89,39): error TS2307: Cannot find module '../../src/app/(dashboard)/contracts/create-quotation/page.js' or its corresponding type declarations.
.next/types/validator.ts(98,39): error TS2307: Cannot find module '../../src/app/(dashboard)/contracts/detail/[contractId]/page.js' or its corresponding type declarations.
.next/types/validator.ts(107,39): error TS2307: Cannot find module '../../src/app/(dashboard)/contracts/page.js' or its corresponding type declarations.
.next/types/validator.ts(116,39): error TS2307: Cannot find module '../../src/app/(dashboard)/contracts/quotations/page.js' or its corresponding type declarations.
.next/types/validator.ts(125,39): error TS2307: Cannot find module '../../src/app/(dashboard)/invoices/page.js' or its corresponding type declarations.
.next/types/validator.ts(134,39): error TS2307: Cannot find module '../../src/app/(dashboard)/invoices/payments/page.js' or its corresponding type declarations.
.next/types/validator.ts(143,39): error TS2307: Cannot find module '../../src/app/(dashboard)/invoices/pending-payments/[customerId]/page.js' or its corresponding type declarations.
.next/types/validator.ts(152,39): error TS2307: Cannot find module '../../src/app/(dashboard)/invoices/pending-payments/page.js' or its corresponding type declarations.
.next/types/validator.ts(161,39): error TS2307: Cannot find module '../../src/app/(dashboard)/map/page.js' or its corresponding type declarations.
.next/types/validator.ts(206,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/admin/contact-centre-extensions/page.js' or its corresponding type declarations.
.next/types/validator.ts(251,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/admin/order-quotation/page.js' or its corresponding type declarations.
.next/types/validator.ts(296,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/admin/work-schedule/page.js' or its corresponding type declarations.
